EXCHANGE,BASE,QUOTE
aofex,JASMY,USDT
aofex,PLA,USDT
aofex,NEC,USDT
aofex,CCAR,USDT
aofex,AVN,USDT
aofex,KAKA,USDT
aofex,CGG,USDT
aofex,PEOPLE,USDT
aofex,PYR,USDT
ascendex,LBA,BTC
ascendex,BCH,USDT
ascendex,BCH,BTC
ascendex,EOS,BTC
ascendex,LBA,ETH
ascendex,ETC,USDT
ascendex,EOS,USDT
ascendex,ETC,ETH
ascendex,BTC,USDT
ascendex,ZRX,ETH
ascendex,BAT,ETH
ascendex,ELF,ETH
ascendex,XRP,BTC
ascendex,LTC,USDT
ascendex,BAT,BTC
ascendex,LTC,BTC
ascendex,BCH,ETH
ascendex,ZIL,BTC
ascendex,ZIL,ETH
ascendex,EOS,ETH
ascendex,ETH,BTC
ascendex,ZRX,BTC
ascendex,SEELE,BTC
ascendex,XRP,ETH
ascendex,LFT,BTC
ascendex,ETC,BTC
ascendex,LFT,ETH
ascendex,SEELE,ETH
ascendex,LTC,ETH
ascendex,IOST,ETH
ascendex,XRP,USDT
ascendex,ETH,USDT
ascendex,ELF,BTC
ascendex,IOST,BTC
ascendex,ASD,BTC
ascendex,ASD,USDT
ascendex,BSV,BTC
ascendex,BSV,ETH
ascendex,BSV,USDT
ascendex,USDC,BTC
ascendex,USDC,USDT
ascendex,NEO,BTC
ascendex,NEO,USDT
ascendex,GAS,BTC
ascendex,ONT,BTC
ascendex,ONT,ETH
ascendex,ONT,USDT
ascendex,ONG,BTC
ascendex,ONG,ETH
ascendex,ONG,USDT
ascendex,COVA,BTC
ascendex,COVA,ETH
ascendex,COVA,USDT
ascendex,LAMB,BTC
ascendex,LAMB,ETH
ascendex,LAMB,USDT
ascendex,CVNT,BTC
ascendex,CVNT,ETH
ascendex,XLM,BTC
ascendex,XLM,ETH
ascendex,XLM,USDT
ascendex,LTO,BTC
ascendex,LTO,USDT
ascendex,QCX,BTC
ascendex,QCX,USDT
ascendex,ZEC,BTC
ascendex,ZEC,USDT
ascendex,ZEC,ETH
ascendex,BXA,USDT
ascendex,XTZ,BTC
ascendex,XTZ,ETH
ascendex,RNT,USDT
ascendex,USDP,USDT
ascendex,BTC,USDC
ascendex,ETH,USDC
ascendex,BTC,USDP
ascendex,ETH,USDP
ascendex,TRX,USDT
ascendex,BTT,USDT
ascendex,TRX,BTC
ascendex,BTT,BTC
ascendex,TRX,ETH
ascendex,ANKR,USDT
ascendex,ANKR,BTC
ascendex,BNB,USDT
ascendex,BNB,ETH
ascendex,BNB,BTC
ascendex,FET,USDT
ascendex,FET,ETH
ascendex,FET,BTC
ascendex,AERGO,USDT
ascendex,AERGO,ETH
ascendex,AERGO,BTC
